Date	Open	High	Low	Close 	Adj Close 	Volume
Jan 29, 2025	48.35	49.18	47.56	47.66	47.66	11,630,941
Jan 28, 2025	49.60	49.76	47.96	48.44	48.44	12,309,600
Jan 27, 2025	49.25	49.72	49.02	49.54	49.54	5,987,300
Jan 24, 2025	48.17	49.38	48.17	49.07	49.07	8,259,500
Jan 23, 2025	48.74	48.95	48.15	48.43	48.43	8,138,800
Jan 22, 2025	48.99	49.09	47.94	48.63	48.63	9,541,100
Jan 21, 2025	48.66	49.41	48.33	49.32	49.32	11,643,900
Jan 17, 2025	48.78	48.78	47.41	48.36	48.36	14,835,700
Jan 16, 2025	47.89	49.21	47.20	48.03	48.03	19,043,000
Jan 15, 2025	50.45	51.12	50.24	50.90	50.90	13,935,600
Jan 14, 2025	48.81	49.35	48.68	49.06	49.06	8,753,200
Jan 13, 2025	47.54	48.41	47.41	48.39	48.39	9,164,700
Jan 10, 2025	47.89	48.09	47.05	47.38	47.38	8,528,500
Jan 8, 2025	48.66	48.69	47.89	48.52	48.52	5,955,500
Jan 7, 2025	49.31	49.46	48.47	48.70	48.70	6,014,300
Jan 6, 2025	49.21	49.67	48.65	48.73	48.73	7,261,800
Jan 3, 2025	48.02	48.89	47.83	48.86	48.86	6,418,900
Jan 2, 2025	48.18	48.30	47.54	47.86	47.86	6,227,800
Dec 31, 2024	0.50 Dividend
Dec 31, 2024	47.96	48.31	47.62	47.83	47.83	4,521,400
Dec 30, 2024	48.12	48.59	47.66	48.25	47.75	4,868,400
Dec 27, 2024	48.74	49.26	48.24	48.49	47.99	4,956,900
Dec 26, 2024	48.66	49.13	48.33	49.01	48.50	3,448,200
Dec 24, 2024	48.44	48.83	48.23	48.83	48.32	2,393,800
Dec 23, 2024	47.54	48.36	47.47	48.32	47.82	4,600,700
Dec 20, 2024	47.28	48.57	47.22	47.92	47.42	20,225,000
Dec 19, 2024	48.27	48.55	47.18	47.41	46.92	9,802,900
Dec 18, 2024	50.12	50.25	47.57	47.61	47.12	8,970,100
Dec 17, 2024	50.98	51.24	49.68	49.98	49.46	6,774,100
Dec 16, 2024	51.16	51.37	50.64	51.36	50.83	8,427,100
Dec 13, 2024	51.23	51.33	50.73	51.03	50.50	6,426,800
Dec 12, 2024	51.51	51.81	51.07	51.10	50.57	7,596,700
Dec 11, 2024	52.00	52.24	51.25	51.32	50.79	7,842,300
Dec 10, 2024	51.55	51.81	50.78	51.57	51.04	6,357,600
Dec 9, 2024	52.24	52.27	51.26	51.31	50.78	5,414,900
Dec 6, 2024	52.24	52.59	51.78	52.18	51.64	4,683,500
Dec 5, 2024	52.01	52.58	51.95	52.12	51.58	7,020,200
Dec 4, 2024	52.23	52.42	51.59	52.01	51.47	4,669,900
Dec 3, 2024	52.76	52.89	51.83	52.10	51.56	6,520,400
Dec 2, 2024	53.50	53.50	52.53	52.77	52.22	5,110,200
Nov 29, 2024	53.60	53.75	53.07	53.29	52.74	3,287,900
Nov 27, 2024	53.75	53.98	53.22	53.48	52.93	4,506,200
Nov 26, 2024	53.76	53.80	53.28	53.66	53.10	5,767,500
Nov 25, 2024	53.26	53.93	53.16	53.63	53.07	10,234,400
Nov 22, 2024	51.37	52.69	51.37	52.49	51.95	8,301,500
Nov 21, 2024	50.85	52.08	50.80	51.39	50.86	8,218,000
Nov 20, 2024	50.60	50.96	50.29	50.74	50.21	8,071,200
Nov 19, 2024	49.89	50.62	49.59	50.40	49.88	5,066,200
